line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs,
0,0,[LPd(OH)$_2$]$_2$,TRUE,TRUE,FALSE,top,-1.5,black,black,o,00-lpdoh2,0,-0.626397913
0,1,Pd-RXT,FALSE,TRUE,TRUE,top,-1.5,black,black,x,diffusion,3.788589234,
0,2,RXT,TRUE,TRUE,FALSE,top,-1.5,black,black,o,01-rxt,0.32222616,
1,2,RXT,FALSE,FALSE,FALSE,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,0.32222616,
2,2,RXT,FALSE,FALSE,FALSE,top,-1.5,#204195,#204195,o,01-rxt,0.32222616,
1,4,RXT-C1,TRUE,TRUE,TRUE,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,15.23045492,
1,6,C1,TRUE,TRUE,FALSE,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,4.985877211,
1,8,C1-C2,TRUE,TRUE,TRUE,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,8.49413979,
1,10,C2,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-26.71276822,
1,11,C2 // H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-23.14663113,
1,12,C2 + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-26.6129942,
1,13,C2-C3,TRUE,TRUE,TRUE,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-20.81292334,
1,14,C3 + B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-26.76171397,
1,15,C3 // B(OH)$_3$,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-16.99076234,
1,16,C3,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-20.45712542,
1,18,C3-C4,TRUE,TRUE,TRUE,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,10.29147054,
1,20,C4,TRUE,TRUE,FALSE,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-6.693958234,
1,21,C4-PDT,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-3.227595159,
1,22,PDT,TRUE,TRUE,FALSE,top,-1.5,black,black,o,pdt,-24.96797789,
2,22,PDT,FALSE,TRUE,FALSE,top,-1.5,black,black,o,pdt,-24.96797789,
2,4,RXT-T1,TRUE,TRUE,TRUE,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,15.02240849,
2,6,T1,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o,13-t1,1.42036789,
2,8,T1-T2,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,15.26399967,
2,10,T2,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o,15-t2,-4.807664496,
2,11,T2 // H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x,diffusion,2.213540238,
2,12,T2 + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o,16-t2-h2o,-1.252822837,
2,13,T2-T3,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,12.33478504,
2,14,T3 + B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o,18-t3-boh3,-3.280933735,
2,15,T3 // B(OH)$_3$,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x,diffusion,0.185429339,
2,16,T3,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o,19-t3,-4.810802043,
2,18,T3-T4,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,15.95739773,
2,20,T4,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o,21-t4,-9.819583353,
2,21,T4-PDT,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x,diffusion,-6.353220278,
