I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3090.085756,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2106.185069,True,diffusion-lpdoh2-rxt,5.136165750280224,0.0
01-rxt,,03-c1,,-2106.16987,True,02-ts-rxt-c1,9.537517805888863,8.680339746639419
03-c1,,05-c2,,-2106.176209,True,04-ts-c1-c2,4.70255664432902,37.91224510018689
05-c2,h2o,09-c3,boh3,-2182.589553,True,07-ts-c2-c3,9.705690368176475,4.299695506965447
09-c3,,11-c4,,-1930.271755,True,10-ts-c3-c4,32.7829819551231,14.28023506211385
11-c4,,naph-c,00-lpdoh2,-1930.294512,True,diffusion-c4-pdt,0.0,21.660374999958925
01-rxt,,13-t1,,-2106.171535,True,12-ts-rxt-t1,8.492714388247824,9.23882325540306
13-t1,,15-t2,,-2106.169614,True,14-ts-t1-t2,10.444269120627968,18.369087356661137
15-t2,h2o,19-t3,boh3,-2182.546924,True,17-ts-t2-t3,12.774212117513185,13.283122370787165
19-t3,,21-t4,,-1930.264699,True,20-ts-t3-t4,19.44401123325982,22.70141336039077
21-t4,,naph-t,00-lpdoh2,-1930.300876,True,diffusion-t4-pdt,0.0,17.66690415861106
